Park Name,Category,count,Nativeness
Sequoia and Kings Canyon National Parks,Amphibian,1,Not Native
Sequoia and Kings Canyon National Parks,Bird,182,Native
Sequoia and Kings Canyon National Parks,Bird,37,Not Native
Sequoia and Kings Canyon National Parks,Fish,8,Native
Sequoia and Kings Canyon National Parks,Fish,11,Not Native
Sequoia and Kings Canyon National Parks,Mammal,77,Native
Sequoia and Kings Canyon National Parks,Mammal,10,Not Native
Sequoia and Kings Canyon National Parks,Reptile,24,Native
Sequoia and Kings Canyon National Parks,Vascular Plant,1428,Native
Sequoia and Kings Canyon National Parks,Vascular Plant,202,Not Native
Shenandoah National Park,Amphibian,24,Native
Shenandoah National Park,Bird,196,Native
Shenandoah National Park,Bird,3,Not Native
Shenandoah National Park,Fish,31,Native
Shenandoah National Park,Fish,9,Not Native
Shenandoah National Park,Insect,81,Native
Shenandoah National Park,Insect,6,Not Native
Shenandoah National Park,Mammal,55,Native
Shenandoah National Park,Mammal,3,Not Native
Shenandoah National Park,Reptile,30,Native
Shenandoah National Park,Spider/Scorpion,4,Native
Shenandoah National Park,Vascular Plant,1054,Native
Shenandoah National Park,Vascular Plant,356,Not Native
Theodore Roosevelt National Park,Amphibian,7,Native
Theodore Roosevelt National Park,Bird,212,Native
Theodore Roosevelt National Park,Bird,8,Not Native
Theodore Roosevelt National Park,Crab/Lobster/Shrimp,1,Native
Theodore Roosevelt National Park,Fish,22,Native
Theodore Roosevelt National Park,Fish,3,Not Native
Theodore Roosevelt National Park,Insect,3,Native
Theodore Roosevelt National Park,Invertebrate,3,Native
Theodore Roosevelt National Park,Mammal,60,Native
Theodore Roosevelt National Park,Mammal,4,Not Native
Theodore Roosevelt National Park,Reptile,12,Native
Theodore Roosevelt National Park,Slug/Snail,2,Native
Theodore Roosevelt National Park,Vascular Plant,536,Native
Theodore Roosevelt National Park,Vascular Plant,82,Not Native
Voyageurs National Park,Amphibian,10,Native
Voyageurs National Park,Bird,231,Native
Voyageurs National Park,Bird,4,Not Native
Voyageurs National Park,Fish,54,Native
Voyageurs National Park,Fish,4,Not Native
Voyageurs National Park,Fungi,2,Native
Voyageurs National Park,Insect,23,Native
Voyageurs National Park,Invertebrate,7,Not Native
